airport,year,departures,arrivals,on_time_gate_departures,on_time_airport_departures,on_time_gate_arrivals,average_gate_departure_delay,average_taxi_out_time,average_taxi_out_delay,average_airport_departure_delay,average_airborne_delay,average_taxi_in_delay,average_block_delay,average_gate_arrival_delay,departure_cancellations,arrival_cancellations,departure_diversions,arrival_diversions
SLC,2012,129026,129031,0.8691,0.8153,0.8661,7.26,17.21,4.42,10.16,1.87,1.3,2.19,7.52,473.0,754.0,312.0,62.0
SLC,2013,128090,127946,0.8408,0.7698,0.8367,9.44,18.13,5.31,13.15,2.02,1.75,2.79,9.75,869.0,1139.0,301.0,291.0
SLC,2014,129307,128941,0.8286,0.7866,0.8369,9.86,16.59,3.72,12.17,1.84,1.31,2.47,9.77,573.0,801.0,278.0,103.0
SMF,2007,65686,65960,0.8025,0.769,0.7724,11.01,10.86,2.64,12.95,2.54,1.12,2.59,12.17,551.0,494.0,100.0,53.0
SMF,2008,61470,61500,0.8067,0.7884,0.7706,11.12,10.46,1.93,12.29,2.13,0.73,2.49,12.13,507.0,457.0,112.0,63.0
SMF,2009,52731,52905,0.8401,0.8281,0.8066,9.02,9.85,1.57,9.75,1.88,0.65,1.75,9.87,344.0,324.0,58.0,24.0
SMF,2010,51516,51632,0.8209,0.8073,0.7886,9.97,9.64,1.48,10.86,1.93,0.66,1.98,11.1,493.0,451.0,95.0,34.0
SMF,2011,50574,50719,0.8265,0.7981,0.8055,9.82,10.32,2.19,11.36,1.86,0.83,2.01,10.41,538.0,506.0,74.0,59.0
SMF,2012,49016,49085,0.8505,0.8285,0.8311,8.97,10.43,2.2,10.4,1.71,1.01,1.69,9.28,465.0,440.0,74.0,35.0
SMF,2013,46868,47183,0.8242,0.7999,0.8035,9.88,10.58,2.13,11.29,1.87,0.74,1.64,10.47,437.0,390.0,75.0,26.0
SMF,2014,47618,47523,0.7861,0.7661,0.7659,11.91,10.75,2.04,13.09,2.0,0.85,2.1,12.57,579.0,536.0,78.0,27.0
SNA,2004,14135,14276,0.7857,0.721,0.7716,11.09,13.48,4.44,14.34,3.17,1.81,3.44,11.12,632.0,583.0,104.0,107.0
SNA,2005,55590,55995,0.8046,0.7443,0.7799,10.03,12.91,4.07,12.98,2.96,1.67,3.06,10.92,559.0,525.0,84.0,106.0
SNA,2006,56634,57499,0.7952,0.7312,0.7668,10.5,12.91,4.15,13.51,2.76,1.65,3.41,11.48,721.0,653.0,113.0,140.0
SNA,2007,57795,58356,0.7823,0.7039,0.7575,11.29,13.49,4.66,14.73,3.12,2.05,3.39,12.17,895.0,797.0,149.0,144.0
SNA,2008,51644,52088,0.8028,0.7394,0.7788,10.79,13.31,4.31,13.7,2.49,1.75,3.14,11.18,726.0,653.0,117.0,128.0
SNA,2009,50127,50368,0.8286,0.7676,0.8148,9.33,12.85,4.04,12.08,2.38,1.77,2.71,9.2,516.0,466.0,104.0,77.0
SNA,2010,46002,46334,0.8067,0.757,0.8091,10.42,11.97,3.38,12.6,2.3,1.44,2.24,9.42,456.0,397.0,103.0,94.0
SNA,2011,45157,45435,0.8199,0.7672,0.8182,9.76,11.72,3.36,11.92,1.96,1.29,2.23,9.07,531.0,475.0,96.0,77.0
SNA,2012,45397,45653,0.8133,0.7646,0.8234,10.47,11.59,3.28,12.69,1.74,1.04,1.91,8.95,496.0,423.0,82.0,98.0
SNA,2013,46656,46935,0.7907,0.7531,0.7986,11.06,11.28,3.09,13.08,1.61,1.04,2.1,9.89,443.0,387.0,89.0,93.0
SNA,2014,47176,47252,0.7578,0.715,0.7688,12.75,11.39,3.1,14.85,1.77,0.82,2.36,11.67,468.0,425.0,85.0,71.0
STL,2004,130440,130684,0.8232,0.8126,0.8263,10.0,11.42,1.67,10.94,3.93,0.53,2.06,9.76,832.0,805.0,119.0,135.0
STL,2005,134794,134879,0.8164,0.7915,0.8193,10.41,11.69,2.68,12.15,3.6,1.31,2.09,10.72,790.0,756.0,136.0,116.0
STL,2006,127485,127934,0.794,0.7746,0.8061,11.71,11.49,2.06,13.03,3.03,0.79,2.25,11.43,994.0,940.0,158.0,119.0
STL,2007,118824,119185,0.761,0.7371,0.7604,14.26,11.45,2.15,15.77,3.66,1.18,2.69,14.37,1292.0,1256.0,138.0,144.0
STL,2008,116267,116638,0.7737,0.7515,0.7758,13.73,11.4,2.19,15.22,3.95,1.15,2.92,13.86,1316.0,1244.0,162.0,165.0
STL,2009,98714,98773,0.8163,0.7976,0.8168,10.74,11.0,1.76,11.93,3.29,0.78,2.25,10.54,695.0,642.0,113.0,83.0
STL,2010,85835,85963,0.7849,0.7635,0.7952,12.16,10.84,1.89,13.33,2.78,1.28,2.5,11.6,715.0,700.0,129.0,85.0
STL,2011,88445,88387,0.7855,0.7623,0.7897,12.52,10.74,1.95,13.86,2.41,1.38,2.79,12.15,1238.0,1135.0,140.0,150.0
STL,2012,89904,89576,0.8094,0.7851,0.816,11.03,10.61,1.89,12.41,2.03,1.27,2.3,10.68,502.0,477.0,107.0,100.0
STL,2013,87766,88139,0.7694,0.7416,0.7805,13.24,10.61,2.04,14.81,1.59,0.89,2.36,12.62,765.0,708.0,116.0,114.0
STL,2014,86632,86474,0.743,0.715,0.7506,15.01,10.74,2.1,16.62,1.78,0.99,2.75,14.64,1014.0,920.0,135.0,105.0
SWF,2004,2734,2662,0.7008,0.6544,0.6525,16.63,12.91,3.42,18.9,3.63,0.45,4.34,18.67,81.0,70.0,4.0,3.0
SWF,2005,8820,8666,0.6991,0.6776,0.6547,17.3,12.1,2.38,18.61,3.3,0.74,4.75,17.92,94.0,80.0,5.0,7.0
SWF,2006,6582,6359,0.6694,0.6542,0.6141,18.78,11.91,1.92,19.73,3.38,0.67,5.72,21.09,39.0,37.0,3.0,4.0
SWF,2007,9634,9418,0.7162,0.6583,0.6277,17.4,13.76,3.84,20.49,2.49,1.61,6.14,20.78,120.0,103.0,19.0,21.0
SWF,2008,8096,7907,0.7456,0.7155,0.692,16.07,13.37,2.42,17.78,2.71,0.68,4.27,17.68,53.0,41.0,13.0,15.0
SWF,2009,5068,4975,0.7129,0.6687,0.6476,16.71,14.65,3.02,19.2,2.84,0.75,4.93,19.37,29.0,18.0,7.0,6.0
SWF,2010,4840,4819,0.7519,0.7192,0.6559,14.95,14.09,2.46,16.71,2.89,0.51,4.91,19.69,67.0,54.0,5.0,12.0
SWF,2011,5546,5444,0.7034,0.6918,0.6275,17.8,13.17,1.3,18.35,2.91,0.84,4.34,20.71,42.0,40.0,4.0,5.0
SWF,2012,5546,5474,0.7495,0.7467,0.6955,14.4,12.31,0.83,14.59,2.72,0.34,3.78,16.55,14.0,12.0,3.0,1.0
SWF,2013,4935,4873,0.74,0.6987,0.6483,14.62,14.03,2.7,16.73,2.49,0.82,5.5,18.87,27.0,23.0,7.0,6.0
SWF,2014,4863,4871,0.7027,0.6955,0.6843,16.78,12.42,0.65,17.24,2.83,0.23,4.73,17.14,17.0,11.0,3.0,11.0
TPA,2004,100556,100312,0.8245,0.8023,0.7921,9.85,11.88,2.39,11.53,2.24,0.7,3.1,11.3,1167.0,1016.0,154.0,139.0
TPA,2005,111899,111953,0.7996,0.7656,0.7696,11.39,12.17,3.12,13.76,2.58,1.03,3.52,12.84,771.0,746.0,212.0,103.0
TPA,2006,106426,106040,0.8129,0.7871,0.7869,10.78,12.13,2.87,12.7,2.48,0.93,3.0,11.87,427.0,356.0,197.0,189.0
TPA,2007,107523,107579,0.7903,0.762,0.7542,12.55,12.03,2.78,14.49,2.19,0.89,3.51,14.26,705.0,655.0,186.0,121.0
TPA,2008,100289,100528,0.7983,0.7684,0.7672,12.39,12.19,2.85,14.37,1.3,0.89,3.7,13.76,727.0,654.0,194.0,182.0
TPA,2009,83888,84140,0.8154,0.7875,0.7965,10.86,12.05,2.59,12.64,1.08,0.74,3.0,11.51,349.0,307.0,201.0,102.0
TPA,2010,82346,82582,0.8121,0.7775,0.7988,11.02,12.45,3.03,13.21,1.86,0.94,2.68,11.65,709.0,655.0,157.0,140.0
TPA,2011,81837,81897,0.8296,0.8054,0.8044,10.6,11.93,2.42,12.19,1.66,0.75,2.53,11.51,667.0,622.0,176.0,137.0
TPA,2012,80605,80523,0.8322,0.8096,0.808,10.51,11.69,2.19,11.88,1.53,0.85,2.57,11.3,450.0,411.0,131.0,132.0
TPA,2013,80603,79946,0.7997,0.775,0.7774,11.9,11.86,2.36,13.39,1.63,0.87,3.0,12.66,326.0,301.0,152.0,118.0
TPA,2014,79489,79173,0.7726,0.7454,0.7536,14.33,12.0,2.39,15.97,2.24,0.88,3.53,14.87,723.0,691.0,183.0,163.0
TUS,2004,7498,7501,0.7757,0.7586,0.7124,14.09,9.98,2.31,15.58,2.37,0.89,3.48,15.24,103.0,80.0,50.0,22.0
TUS,2005,29803,29761,0.7868,0.7666,0.7493,11.53,9.87,2.15,12.89,2.42,0.79,2.38,12.86,126.0,101.0,36.0,26.0
TUS,2006,29332,30490,0.8098,0.7793,0.7422,10.49,10.58,2.56,12.32,2.11,1.42,3.3,13.69,206.0,174.0,63.0,46.0
TUS,2007,32136,32102,0.8152,0.7827,0.7412,10.62,11.1,2.82,12.41,2.26,1.08,3.3,13.94,281.0,237.0,65.0,22.0
TUS,2008,30267,30337,0.8354,0.8086,0.7703,9.51,10.94,2.42,11.01,1.63,0.85,2.93,12.59,206.0,174.0,59.0,16.0
TUS,2009,24475,24528,0.8507,0.8278,0.7965,8.41,10.7,2.17,9.71,1.82,0.79,2.67,10.73,117.0,100.0,38.0,28.0
TUS,2010,24995,25088,0.8502,0.8293,0.7926,8.27,10.48,2.01,9.38,1.64,0.76,2.33,11.04,144.0,110.0,42.0,35.0
TUS,2011,25149,25165,0.8458,0.8216,0.7795,8.76,11.06,2.58,10.17,1.47,0.8,2.57,11.77,204.0,183.0,43.0,28.0
TUS,2012,23583,23679,0.8599,0.8336,0.7965,8.1,11.19,2.59,9.48,1.56,0.74,2.29,10.64,117.0,107.0,38.0,29.0
TUS,2013,22502,22090,0.8145,0.7914,0.7628,10.55,11.43,2.43,11.96,1.67,0.7,2.48,12.76,175.0,153.0,62.0,18.0
TUS,2014,22589,22340,0.7914,0.7715,0.7351,12.33,11.32,2.03,13.47,1.84,0.92,2.57,14.76,178.0,155.0,55.0,39.0
